name			E_u		A			g
OIR1B3P0-3P1	0		0			0
R1ACO25-24		1794	0.00143		51
R1BCO18-17		945		0.00057		37
R1Bp-H2O413-322	396.4	0.03316		9
OH19-14			875.1 	2.182 		10
OH18-15 		875.1 	2.175 		10
OH13-9			512.1	1.276		10
OH12-8 			510.9 	1.267 		10
OH14-10	 		617.6 	1.014 		8
OH15-11 		617.9 	1.012 		8
OH5-1 			181.9 	3.606e-02 	2
OH4-0 			181.7 	3.598e-02 	2
OH9-3			291.2	0.5235		8
OH8-2			290.5	0.5202		8
OH10-8 			415.5 	2.850e-03 	6
OH11-9 			415.9 	2.830e-03 	6
OH3-1			120.7	0.1388		6
OH2-0			120.5	0.1380		6
OH14-12 		617.6 	1.090e-03 	8
OH15-13 		617.9 	1.060e-03 	8
OH19-16 		875.1 	4.350e-04 	10
OH18-17 		875.1 	4.110e-04 	10
OH7-5 			270.2 	6.483e-02 	4
OH6-4 			269.8 	6.450e-02 	4
CH+1-0 			27.855	6.3998e-03 	3
CH+2-1 			83.533 	6.133e-02 	5
CH+3-2 			166.97 	2.211e-01 	7
CH+4-3 			278.06 	5.413e-01	9
CH+5-4 			416.68 	1.076 		11
CH+6-5 			582.67 	1.875 		13
Missing_line	-1 		-1 			-1
