  Wavelength(um)        Flux(Jy)
       515.46485       40.544899
       515.19928       40.593262
       514.93399       40.610584
       514.66897       40.657683
       514.40422       40.785893
       514.13975       40.999638
       513.87554       41.247615
       513.61161       41.447430
       513.34795       41.529149
       513.08456       41.473015
       512.82144       41.320706
       512.55859       41.154568
       512.29601       41.056619
       512.03370       41.074793
       511.77165       41.202366
       511.50988       41.390329
       511.24837       41.578256
       510.98713       41.725961
       510.72615       41.829573
       510.46545       41.915498
       510.20500       42.018481
       509.94483       42.157932
       509.68492       42.325979
       509.42527       42.492607
       509.16589       42.622958
       508.90677       42.695547
       508.64792       42.710949
       508.38933       42.687316
       508.13100       42.647304
       507.87293       42.605632
       507.61513       42.564775
       507.35759       42.520152
       507.10031       42.474304
       506.84329       42.440745
       506.58653       42.442709
       506.33003       42.502454
       506.07379       42.627752
       505.81781       42.804249
       505.56209       42.998941
       505.30662       43.173511
       505.05142       43.300436
       504.79647       43.373120
       504.54178       43.404814
       504.28735       43.417621
       504.03317       43.428550
       503.77925       43.440991
       503.52558       43.446377
       503.27217       43.434422
       503.01902       43.405016
       502.76612       43.373646
       502.51347       43.366078
       502.26108       43.407384
       502.00894       43.505998
       501.75705       43.647723
       501.50542       43.801007
       501.25404       43.931264
       501.00291       44.016782
       500.75203       44.057729
       500.50141       44.073664
       500.25103       44.091402
       500.00090       44.130279
       499.75103       44.192993
       499.50140       44.266622
       499.25203       44.332460
       499.00290       44.378325
       498.75402       44.405979
       498.50539       44.429491
       498.25700       44.465933
       498.00887       44.524173
       497.76098       44.598438
       497.51334       44.671796
       497.26594       44.724435
       497.01879       44.744797
       496.77189       44.735831
       496.52523       44.713211
       496.27881       44.697115
       496.03264       44.702653
       495.78672       44.734404
       495.54103       44.787631
       495.29560       44.854490
       495.05040       44.930598
       494.80545       45.017467
       494.56074       45.119349
       494.31627       45.236915
       494.07204       45.362480
       493.82805       45.480621
       493.58431       45.574563
       493.34080       45.634892
       493.09754       45.665322
       492.85451       45.681005
       492.61173       45.701417
       492.36918       45.740364
       492.12687       45.799738
       491.88480       45.870821
       491.64297       45.942336
       491.40138       46.010168
       491.16002       46.082292
       490.91890       46.175050
       490.67802       46.302192
       490.43738       46.462894
       490.19696       46.636396
       489.95679       46.787711
       489.71685       46.882756
       489.47715       46.905505
       489.23768       46.867837
       488.99844       46.806015
       488.75944       46.764721
       488.52067       46.776449
       488.28213       46.844613
       488.04383       46.943873
       487.80576       47.033177
       487.56792       47.077084
       487.33032       47.064240
       487.09294       47.013410
       486.85580       46.964089
       486.61888       46.956755
       486.38220       47.013052
       486.14575       47.125984
       485.90953       47.264718
       485.67353       47.390931
       485.43777       47.477853
       485.20224       47.522241
       484.96693       47.543682
       484.73185       47.572450
       484.49700       47.632863
       484.26238       47.731051
       484.02798       47.853185
       483.79381       47.970301
       483.55987       48.054486
       483.32615       48.089836
       483.09266       48.077115
       482.85940       48.030896
       482.62636       47.972051
       482.39354       47.920291
       482.16095       47.890234
       481.92858       47.891479
       481.69644       47.930487
       481.46452       48.011348
       481.23282       48.134051
       481.00135       48.291309
       480.77010       48.466766
       480.53907       48.637043
       480.30827       48.777940
       480.07768       48.872403
       479.84732       48.916678
       479.61717       48.921827
       479.38725       48.905340
       479.15755       48.886733
       478.92807       48.879708
       478.69881       48.888975
       478.46976       48.912205
       478.24094       48.944858
       478.01234       48.984486
       477.78395       49.031946
       477.55578       49.089226
       477.32783       49.155951
       477.10010       49.227431
       476.87258       49.296006
       476.64528       49.355030
       476.41820       49.402926
       476.19134       49.444412
       475.96469       49.487769
       475.73825       49.539586
       475.51203       49.600526
       475.28603       49.665420
       475.06024       49.724049
       474.83467       49.770866
       474.60931       49.809150
       474.38416       49.850531
       474.15923       49.909122
       473.93451       49.992956
       473.71000       50.097750
       473.48570       50.207096
       473.26162       50.299789
       473.03775       50.360808
       472.81409       50.390035
       472.59065       50.403628
       472.36741       50.426776
       472.14439       50.481288
       471.92157       50.574489
       471.69897       50.695345
       471.47657       50.819915
       471.25439       50.923402
       471.03241       50.992625
       470.81064       51.028465
       470.58909       51.045621
       470.36774       51.062142
       470.14660       51.088896
       469.92566       51.124762
       469.70494       51.159900
       469.48442       51.184712
       469.26411       51.198705
       469.04400       51.213496
       468.82410       51.247765
       468.60441       51.316901
       468.38492       51.423495
       468.16564       51.554591
       467.94656       51.687799
       467.72769       51.803128
       467.50903       51.893878
       467.29056       51.970155
       467.07231       52.052666
       466.85425       52.160045
       466.63640       52.296124
