  Wavelength(um)          Flux(Jy)         Error(Jy)
         89.3843           230.040          0.516261
         89.4025           231.402          0.368115
         89.4207           232.272          0.746796
         89.4389           237.095          0.326114
         89.4571           234.941          0.567816
         89.4753           232.776          0.307958
         89.4935           234.569          0.538841
         89.5117           237.626          0.317810
         89.5299           229.811          0.642844
         89.5481           233.724          0.496580
         89.5663           231.015          0.328443
         89.5845           233.603          0.530376
         89.6027           228.236          0.327717
         89.6209           231.060          0.485010
         89.6390           229.327          0.296051
         89.6572           230.537          0.608068
         89.6754           229.944          0.304040
         89.6936           233.899          0.390305
         89.7117           236.917          0.403152
         89.7299           233.501          0.576942
         89.7481           228.516          0.309276
         89.7662           234.404          0.422401
         89.7844           233.435          0.436146
         89.8025           232.526          0.335089
         89.8207           229.694          0.458066
         89.8388           230.401          0.224948
         89.8570           233.335          0.462428
         89.8751           233.861          0.342184
         89.8933           233.835          0.461105
         89.9114           232.152          0.352854
         89.9295           233.762          0.393479
         89.9477           230.977          0.277788
         89.9658           235.374          0.461225
         89.9839           232.414          0.469671
         90.0020           232.909          0.403110
         90.0202           233.838          0.346413
         90.0383           232.325          0.484929
         90.0564           232.145          0.492366
         90.0745           227.215          0.333586
         90.0926           229.398          0.329189
         90.1107           234.887          0.378161
         90.1288           238.216          0.408769
         90.1469           247.551          0.279345
         90.1650           247.268          0.326503
         90.1831           236.251          0.388443
         90.2012           232.765          0.413386
         90.2193           230.856          0.346023
         90.2374           233.612          0.413093
         90.2555           232.161          0.439909
         90.2735           233.864          0.295730
         90.2916           230.839          0.329019
         90.3097           236.793          0.339090
         90.3278           229.393          0.550872
         90.3458           234.754          0.340961
         90.3639           232.858          0.348982
         90.3820           231.733          0.317521
         90.4000           233.494          0.446078
         90.4181           234.233          0.312040
         90.4361           231.965          0.431982
         90.4542           229.758          0.249985
         90.4722           228.237          0.317994
         90.4903           233.124          0.313621
         90.5083           234.159          0.382516
         90.5263           235.823          0.417649
         90.5444           229.055          0.284038
         90.5624           232.405          0.441278
         90.5804           234.550          0.238050
         90.5985           232.485          0.412342
         90.6165           232.233          0.247450
         90.6345           232.020          0.292892
         90.6525           234.918          0.308765
         90.6705           233.470          0.382597
         90.6885           234.836          0.203929
         90.7065           234.364          0.372154
         90.7246           235.179          0.326248
         90.7426           237.290          0.145298
         90.7606           235.816          0.250535
         90.7785           237.848          0.314691
         90.7965           234.868          0.345363
         90.8145           228.861          0.287572
         90.8325           236.704          0.355185
         90.8505           236.282          0.301134
         90.8685           232.596          0.328853
         90.8865           232.211          0.282917
         90.9044           235.698          0.300302
         90.9224           236.026          0.246443
         90.9404           239.125          0.327723
         90.9583           234.229          0.243911
         90.9763           237.366          0.209245
         90.9943           233.452          0.232188
         91.0122           234.641          0.208062
         91.0302           237.269          0.305708
         91.0481           239.380          0.193808
         91.0661           236.609          0.326715
         91.0840           236.508          0.241627
         91.1019           236.210          0.316919
         91.1199           235.438          0.220520
         91.1378           238.516          0.275704
         91.1557           237.960          0.378160
         91.1737           237.034          0.258727
         91.1916           239.749          0.361700
         91.2095           238.838          0.310418
         91.2274           238.912          0.322158
         91.2453           239.584          0.234226
         91.2633           237.528          0.276220
         91.2812           240.812          0.220104
         91.2991           240.033          0.308034
         91.3170           241.996          0.168457
         91.3349           238.992          0.295674
         91.3528           240.557          0.270898
         91.3707           237.819          0.283939
         91.3886           240.799          0.356498
         91.4064           237.215          0.214594
         91.4243           237.012          0.309590
         91.4422           241.842          0.259858
         91.4601           240.605          0.392355
         91.4780           239.921          0.350287
         91.4958           238.795          0.411735
         91.5137           239.000          0.271749
         91.5316           241.716          0.297162
         91.5494           242.811          0.233975
         91.5673           239.601          0.485087
         91.5851           239.604          0.340351
         91.6030           239.628          0.367131
         91.6208           239.911          0.399117
         91.6387           240.200          0.226751
         91.6565           237.006          0.430315
         91.6744           240.311          0.214086
         91.6922           239.717          0.403584
         91.7100           240.872          0.259746
         91.7279           240.335          0.358393
         91.7457           236.416          0.305586
         91.7635           238.737          0.463542
         91.7813           237.723          0.341399
         91.7992           238.063          0.263811
         91.8170           240.316          0.453980
         91.8348           236.211          0.340208
         91.8526           241.040          0.440306
         91.8704           234.065          0.287482
         91.8882           237.046          0.374529
         91.9060           230.817          0.363137
         91.9238           237.455          0.278557
         91.9416           239.447          0.355195
         91.9594           237.119          0.410478
         91.9771           236.450          0.474144
         91.9949           240.407          0.290727
         92.0127           237.879          0.398699
         92.0305           237.045          0.350940
         92.0482           235.870          0.423112
         92.0660           235.916          0.262986
         92.0838           234.952          0.373068
         92.1015           232.670          0.227321
         92.1193           238.166          0.264362
         92.1371           239.456          0.315495
         92.1548           235.732          0.344077
         92.1726           234.262          0.372669
         92.1903           235.727          0.269310
         92.2080           239.778          0.369895
         92.2258           236.176          0.248682
         92.2435           239.848          0.369168
         92.2613           237.986          0.252145
         92.2790           242.288          0.385298
         92.2967           236.310          0.295789
         92.3144           240.976          0.283009
         92.3321           239.817          0.309381
         92.3499           243.102          0.612235
         92.3676           244.324          0.391577
         92.3853           243.185          0.192582
         92.4030           246.629          0.274890
         92.4207           243.613          0.375648
         92.4384           243.408          0.406976
         92.4561           245.935          0.277814
         92.4738           243.607          0.357332
         92.4915           240.055          0.247218
         92.5092           243.419          0.258609
         92.5268           242.612          0.285854
         92.5445           244.405          0.414970
         92.5622           242.827          0.315743
         92.5799           239.453          0.246531
         92.5975           242.849          0.388589
         92.6152           243.286          0.245979
         92.6329           242.975          0.378681
         92.6505           244.212          0.211622
         92.6682           243.528          0.452497
         92.6858           237.411          0.164499
         92.7035           240.429          0.351117
         92.7211           245.804          0.355515
         92.7388           240.919          0.381513
         92.7564           241.664          0.264905
         92.7740           240.561          0.340677
         92.7917           240.992          0.359602
         92.8093           238.947          0.224578
         92.8269           241.724          0.317548
         92.8445           244.833          0.248335
         92.8622           237.644          0.251990
         92.8798           247.509          0.220092
         92.8974           237.588          0.338465
         92.9150           244.747          0.367962
         92.9326           235.483          0.232531
         92.9502           240.426          0.391725
         92.9678           235.392          0.321740
         92.9854           240.883          0.300975
         93.0030           243.044          0.310869
         93.0206           244.261          0.369952
         93.0381           238.706          0.281103
         93.0557           247.212          0.439282
         93.0733           240.975          0.423814
         93.0909           241.448          0.390254
         93.1084           246.505          0.374022
         93.1260           241.470          0.335230
         93.1436           241.468          0.378822
         93.1611           241.270          0.361321
         93.1787           244.376          0.443603
         93.1962           241.560          0.361619
         93.2138           240.070          0.397290
         93.2313           239.717          0.328411
         93.2489           240.777          0.281136
         93.2664           243.491          0.342404
         93.2839           241.639          0.272743
         93.3015           243.915          0.302061
         93.3190           245.577          0.239100
         93.3365           260.835          0.259461
         93.3541           260.056          0.319494
         93.3716           251.555          0.298988
         93.3891           245.696          0.370970
         93.4066           243.235          0.316433
         93.4241           243.472          0.459632
         93.4416           244.937          0.418186
         93.4591           244.746          0.383026
         93.4766           239.848          0.346723
         93.4941           245.018          0.260506
         93.5116           244.127          0.316196
         93.5291           244.765          0.409562
         93.5465           243.460          0.314341
         93.5640           243.319          0.394318
         93.5815           243.784          0.334142
         93.5990           249.182          0.350622
         93.6164           251.095          0.388618
         93.6339           239.550          0.330628
         93.6514           246.960          0.435589
         93.6688           242.752          0.479144
         93.6863           249.464          0.313858
         93.7037           246.464          0.370565
         93.7212           244.922          0.342532
         93.7386           247.695          0.194482
         93.7561           243.632          0.447898
         93.7735           247.184          0.464518
         93.7909           239.266          0.267307
         93.8084           241.607          0.427412
         93.8258           242.422          0.271079
         93.8432           240.844          0.300878
         93.8606           248.041          0.219191
         93.8780           240.731          0.303545
         93.8954           240.429          0.363873
         93.9128           241.322          0.365518
         93.9303           242.914          0.362471
         93.9477           238.577          0.411647
         93.9650           244.216          0.328377
         93.9824           239.872          0.264038
         93.9998           238.399          0.341769
         94.0172           238.796          0.268631
         94.0346           241.462          0.385115
         94.0520           238.215          0.246262
         94.0693           240.617          0.255276
         94.0867           239.969          0.296733
         94.1041           237.151          0.245512
         94.1214           237.470          0.265394
         94.1388           234.531          0.241532
         94.1562           234.981          0.316481
         94.1735           233.255          0.222337
         94.1909           238.494          0.271198
         94.2082           239.229          0.175617
         94.2255           237.472          0.312658
         94.2429           236.344          0.206376
         94.2602           239.434          0.322891
         94.2776           243.156          0.273461
         94.2949           235.615          0.231621
         94.3122           244.100          0.226973
         94.3295           237.703          0.250882
         94.3468           239.180          0.304009
         94.3641           236.423          0.242536
         94.3815           239.388          0.331010
         94.3988           236.082          0.218850
         94.4161           236.955          0.237108
         94.4334           241.620          0.267447
         94.4506           237.799          0.248494
         94.4679           242.210          0.328031
         94.4852           240.160          0.206889
         94.5025           240.236          0.335357
         94.5198           241.290          0.329616
         94.5371           238.125          0.285890
         94.5543           237.329          0.260791
         94.5716           237.426          0.382987
         94.5889           239.570          0.334868
         94.6061           238.860          0.309782
         94.6234           235.696          0.358896
         94.6406           241.932          0.235486
         94.6579           240.838          0.346030
         94.6751           235.649          0.206469
         94.6924           237.071          0.351705
         94.7096           236.888          0.199239
         94.7268           235.492          0.343750
         94.7441           239.353          0.322428
         94.7613           241.021          0.291498
         94.7785           246.065          0.282883
         94.7957           235.228          0.192997
         94.8129           244.015          0.269983
         94.8302           243.417          0.364273
         94.8474           235.735          0.303257
         94.8646           240.224          0.297532
         94.8818           235.457          0.218008
         94.8990           242.005          0.249751
         94.9161           238.087          0.273887
         94.9333           247.087          0.212722
         94.9505           239.478          0.243595
         94.9677           241.559          0.229430
         94.9849           239.883          0.235801
         95.0020           246.028          0.275595
         95.0192           248.518          0.231263
         95.0364           245.795          0.260597
         103.039           271.675           1.06025
         103.094           271.893           1.32776
         103.149           270.692          0.700287
         103.205           274.350           1.27893
         103.260           274.990           1.21410
         103.315           277.934           1.73861
         103.370           279.156           1.97537
         103.426           277.955           2.05030
         103.481           278.830           1.41948
         103.536           279.778           2.16802
         103.592           278.708           2.03294
         103.647           279.569           1.92259
         103.702           280.326           2.06727
         103.758           278.919           2.33906
         103.813           278.933           1.56289
         103.868           281.457           2.85730
         103.924           280.794           2.34800
         103.979           279.927           2.34952
         104.035           282.115           2.29275
         104.090           281.734           2.58276
         104.146           284.434           2.35399
         104.201           284.452           2.32667
         104.257           282.514           2.01231
         104.312           283.645           1.68355
         104.368           288.562           1.64652
         104.423           294.592           1.56270
         104.479           299.384           1.67998
         104.534           292.188           1.46924
         104.590           287.012           1.85033
         104.645           287.691           2.25260
         104.701           287.483           1.45652
         104.756           286.338           1.88797
         104.812           286.703           2.15963
         104.868           288.050           1.15088
         104.923           288.296           1.61365
         104.979           287.526           1.72689
         105.035           289.862           1.42163
         105.090           289.220           1.02500
         105.146           286.250           1.50362
         105.202           287.163           1.27447
         105.257           288.527           1.11458
         105.313           287.447           1.34897
         105.369           287.256           1.25289
         105.425           285.938           1.44931
         105.480           287.853           1.17182
         105.536           286.812           1.59018
         105.592           291.087          0.876812
         105.648           289.644           1.47153
         105.704           288.533           1.20097
         105.759           290.336           1.19764
         105.815           290.555           1.01765
         105.871           286.279           1.70657
         105.927           287.620          0.905688
         105.983           288.858           1.53785
         106.039           288.384           1.39067
         106.095           288.944           1.71855
         106.151           291.888           1.03700
         106.207           288.669           1.50122
         106.262           291.297           1.14474
         106.318           291.948           1.09380
         106.374           292.684          0.962355
         106.430           290.478           1.19643
         106.486           290.197           2.09567
         106.542           292.619          0.858809
         106.598           290.119           1.33927
         106.654           290.379           1.17896
         106.710           290.441          0.843614
         106.767           293.656          0.957406
         106.823           294.891          0.947058
         106.879           293.621           1.18594
         106.935           292.034           1.40523
         106.991           291.259           1.08163
         107.047           292.840           1.06399
         107.103           296.206          0.986821
         107.159           295.167           1.03696
         107.215           297.248          0.988880
         107.272           295.260           1.11788
         107.328           295.108           1.20375
         107.384           296.466           1.05028
         107.440           297.023           1.03572
         107.496           297.687           1.23803
         107.553           297.772          0.844341
         107.609           297.056           1.00202
         107.665           296.314           1.24788
         107.721           298.049          0.898994
         107.778           300.274           1.07055
         107.834           300.518           1.13395
         107.890           299.851          0.951150
         107.947           300.917          0.983299
         108.003           299.398           1.11013
         108.059           302.852          0.941415
         108.116           305.660          0.990090
         108.172           302.085          0.976980
         108.229           299.627           1.16283
         108.285           298.247          0.856931
         108.341           301.979           1.00113
         108.398           300.151           1.10964
         108.454           299.375          0.961918
         108.511           301.800          0.923724
         108.567           301.843          0.983614
         108.624           301.059           1.06525
         108.680           305.042          0.781397
         108.737           312.619          0.670841
         108.793           316.865          0.755439
         108.850           305.116           1.00805
         108.906           301.518          0.931290
         108.963           301.888          0.752326
         109.019           302.348           1.10564
         109.076           298.294          0.834765
         109.132           301.866          0.970906
         109.189           302.091           1.09103
         109.246           302.127           1.31777
         109.302           299.060           1.25545
         109.359           300.277           1.36706
         109.416           301.018           1.26958
         109.472           298.857           1.06629
         109.529           298.711           1.12164
         109.586           301.086           1.17898
         109.642           299.523           1.22222
         109.699           299.071           1.34499
         109.756           302.374          0.975591
         109.813           300.818           1.34963
         109.869           303.045           1.45708
         109.926           302.528           1.10586
         109.983           302.378           1.20398
         110.040           301.620           1.48634
         110.096           304.494           1.34412
         110.153           302.901           1.44270
         110.210           303.159           1.38128
         110.267           305.980           1.70297
         110.324           305.389           1.41589
         110.381           307.015           1.44151
         110.437           305.735           1.65216
         110.494           305.841           1.68263
         110.551           305.059           1.67501
         110.608           305.870           1.42553
         110.665           305.608           1.70926
         110.722           305.449           1.41850
         110.779           306.132           1.86013
         110.836           307.160           1.52610
         110.893           307.038           1.68254
         110.950           307.235           1.50364
         111.007           306.996           1.53297
         111.064           308.796           1.46532
         111.121           309.036           1.26312
         111.178           307.282           1.51972
         111.235           306.932           1.67125
         111.292           308.305           1.27815
         111.349           309.604           1.25578
         111.406           307.256           1.30102
         111.463           307.661           1.62171
         111.521           306.402           1.38038
         111.578           306.901           1.92567
         111.635           306.467           1.37964
         111.692           308.217           1.22738
         111.749           308.142           1.38639
         111.806           305.892           1.22459
         111.863           305.504           1.42966
         111.921           304.916           1.48996
         111.978           306.951           1.61090
         112.035           307.063           1.51052
         112.092           309.248           1.42375
         112.150           309.767           1.19992
         112.207           311.888           1.20968
         112.264           309.745           1.41700
         112.321           311.220           1.38362
         112.379           309.964           1.15223
         112.436           312.201           1.26028
         112.493           311.411           1.17042
         112.551           314.875           1.07365
         112.608           311.217           1.27623
         112.665           312.624           1.24139
         112.723           313.108           1.18789
         112.780           314.208           1.15729
         112.837           315.345           1.20453
         112.895           316.663           1.02458
         112.952           316.849           1.05993
         113.010           317.908           1.07761
         113.067           316.767           1.23831
         113.125           318.899           1.15188
         113.182           315.791           1.10889
         113.240           318.736          0.901983
         113.297           317.389           1.02863
         113.355           320.303          0.915104
         113.412           327.928           1.09358
         113.470           344.857          0.816710
         113.527           341.695          0.732201
         113.585           332.546          0.869111
         113.642           320.812          0.878964
         113.700           320.668           1.00504
         113.757           317.375           1.01430
         113.815           319.151          0.955460
         113.873           317.688          0.908234
         113.930           318.031          0.820829
         113.988           318.408          0.822843
         114.046           314.981          0.868285
         114.103           315.531          0.936774
         114.161           315.816           1.00157
         114.219           317.473          0.889563
         114.276           318.586          0.901129
         114.334           317.708          0.890920
         114.392           315.655          0.887009
         114.449           316.204          0.872360
         114.507           314.415          0.925891
         114.565           314.172          0.939455
         114.623           317.173          0.900025
         114.680           316.225           1.01241
         114.738           314.747          0.832248
         114.796           314.326           1.08536
         114.854           315.014           1.07631
         114.912           313.887           1.08721
         114.970           316.257           1.19382
         115.027           316.430           1.15461
         115.085           314.549           1.20165
         115.143           315.940           1.04077
         115.201           315.617           1.43157
         115.259           316.364           1.21288
         115.317           318.663           1.48861
         115.375           317.057           1.20863
         115.433           316.381           1.15705
         115.491           314.774           1.28296
         115.549           316.196           1.50441
         115.607           316.261           1.51902
         115.665           318.044           1.48736
         115.723           316.857           1.55978
         115.781           318.856           1.46035
         115.839           319.518           1.58960
         115.897           317.251           1.79076
         115.955           315.499           2.06595
         116.013           317.378           2.06505
         116.071           315.112           1.50261
         116.129           316.786           1.80761
         116.187           317.924           2.02423
         116.245           319.005           2.17104
         116.303           316.348           2.50082
         116.361           317.225           1.92906
         116.419           317.234           1.75069
         116.477           315.636           2.17661
         116.536           317.320           2.24400
         116.594           317.278           2.08463
         116.652           316.276           2.23260
         116.710           319.162           2.21209
         116.768           316.729           1.93056
         116.827           316.612           2.25574
         116.885           317.719           2.34268
         116.943           317.997           2.05328
         117.001           316.302           2.88296
         117.060           319.628           2.35444
         117.118           317.176           2.32174
         117.176           317.006           2.35290
         117.234           317.911           2.37382
         117.293           317.051           2.18831
         117.351           314.510           2.51225
         117.409           316.743           2.17785
         117.468           316.460           2.62370
         117.526           315.714           2.21303
         117.584           316.957           1.48683
         117.643           315.520           2.00148
         117.701           315.059           1.58673
         117.760           317.052           2.00599
         117.818           318.050           1.93184
         117.876           318.961           1.61308
         117.935           320.618           1.60939
         117.993           318.905           1.58275
         118.052           317.481           1.52191
         118.110           317.057           1.53700
         118.169           316.339           1.37190
         118.227           315.450           1.39598
         118.286           317.697           1.22369
         118.344           317.259           1.38921
         118.403           317.977           1.49009
         118.461           320.375           1.17113
         118.520           328.953          0.957568
         118.578           344.436          0.940800
         118.637           335.719          0.933628
         118.696           319.873           1.21943
         118.754           318.373           1.09336
         118.813           318.651           1.00664
         118.871           318.040           1.07761
         118.930           317.422           1.05296
         118.989           319.784          0.978430
         119.047           319.528           1.12166
         119.106           319.991           1.05268
         119.165           324.508          0.869793
         119.223           325.574          0.890541
         119.282           325.014          0.949389
         119.341           325.507          0.939075
         119.400           327.700           1.04343
         119.458           328.667           1.10967
         119.517           325.862          0.925357
         119.576           321.266           1.03313
         119.635           320.948          0.818834
         119.693           322.402          0.989633
         119.752           320.363           1.12762
         119.811           319.883          0.854341
         119.870           320.605          0.963227
         119.929           320.053          0.981228
         119.987           322.898           1.04755
         120.046           322.131           1.01648
         120.105           320.335          0.989118
         120.164           320.797           1.04020
         120.223           318.728          0.925646
         120.282           319.590          0.874335
         120.341           319.898          0.908052
         120.400           324.286           1.09297
         120.458           321.054          0.986378
         120.517           320.028          0.955663
         120.576           322.895          0.852729
         120.635           320.365           1.02340
         120.694           320.868          0.985989
         120.753           322.215           1.05746
         120.812           319.476           1.11681
         120.871           318.641           1.12480
         120.930           319.658          0.998435
         120.989           320.800           1.28914
         121.048           320.184           1.47929
         121.107           320.001           1.26317
         121.166           317.285           1.17472
         121.225           318.571           1.09859
         121.285           319.860           1.12688
         121.344           323.614           1.22928
         121.403           323.180           1.46088
         121.462           322.550           1.67999
         121.521           320.208           1.60084
         121.580           317.641           1.65061
         121.639           314.487           1.53868
         121.698           314.822           1.67390
         121.758           316.553           2.05384
         121.817           317.945           2.20588
         121.876           315.917           1.72450
         121.935           318.322           2.31662
         121.994           320.133           2.33672
         122.054           319.477           2.18958
         122.113           319.253           1.91879
         122.172           319.028           2.48815
         122.231           319.663           2.31152
         122.291           316.637           2.34473
         122.350           318.054           3.10609
         122.409           317.231           2.39586
         122.468           317.366           2.83196
         122.528           316.297           2.41626
         122.587           315.890           2.18616
         122.646           316.966           2.44303
         122.706           317.034           2.45230
         122.765           317.895           3.09490
         122.824           318.546           2.48726
         122.884           317.423           2.05903
         122.943           315.658           2.74827
         123.003           316.233           2.07110
         123.062           317.628           2.06000
         123.121           318.416           2.06810
         123.181           316.397           2.09055
         123.240           316.386           2.08369
         123.300           316.792           2.33844
         123.359           316.633           2.14982
         123.419           316.332           1.75165
         123.478           317.314           1.91964
         123.538           315.665           1.91090
         123.597           318.569           1.42432
         123.657           318.895           1.47576
         123.716           319.955           1.53129
         123.776           319.075           1.25084
         123.835           317.944           1.26399
         123.895           320.378           1.12384
         123.954           319.577           1.42605
         124.014           323.073           1.37959
         124.073           322.257           1.21805
         124.133           336.725           1.17599
         124.193           349.849           1.07291
         124.252           340.391           1.02524
         124.312           323.827           1.36869
         124.371           320.300           1.40243
         124.431           320.576           1.50081
         124.491           320.041           1.13075
         124.550           320.440           1.22480
         124.610           320.300           1.47724
         124.670           320.477           1.29871
         124.730           321.084           1.19992
         124.789           321.948           1.34461
         124.849           321.162           1.59613
         124.909           319.269           1.07482
         124.968           319.609           1.38616
         125.028           320.707           1.32924
         125.088           319.320           1.16933
         125.148           320.142           1.20833
         125.207           320.752           1.30746
         125.267           319.652           1.51735
         125.327           320.951           1.09983
         125.387           323.285           1.28002
         125.447           320.258           1.45717
         125.507           319.051           1.36619
         125.566           319.098           1.39530
         125.626           319.429           1.50751
         125.686           318.590           1.39558
         125.746           318.852           1.33847
         125.806           318.313           1.76563
         125.866           316.193           1.56696
         125.926           318.566           1.74321
         125.986           317.690           1.79309
         126.045           317.092           1.50869
         126.105           318.352           1.62247
         126.165           319.663           2.10013
         126.225           321.225           1.55083
         126.285           321.217           1.81796
         126.345           322.439           1.66220
         126.405           321.000           1.44933
         126.465           320.209           1.79359
         126.525           320.579           2.24192
         126.585           321.554           1.72297
         126.645           321.235           2.27652
         126.705           320.799           1.23739
         126.765           319.013           1.60396
         126.825           318.788           2.31391
         126.885           322.021           1.63504
         126.946           322.528           2.08756
         127.006           321.621           1.89249
         127.066           320.648           1.76599
         127.126           321.286           1.76331
         127.186           319.936           1.99540
         127.246           319.616           2.13713
         127.306           321.244           2.00719
         127.366           320.554           1.97317
         127.427           321.774           1.97129
         127.487           322.073           2.19977
         127.547           322.249           1.92881
         127.607           322.287           2.30120
         127.667           323.072           2.15635
         127.727           323.688           2.05137
         127.788           325.596           2.19930
         127.848           326.295           1.72469
         127.908           326.433           2.19752
         127.968           326.817           1.65362
         128.029           327.789           2.12465
         128.089           326.390           1.64266
         128.149           326.523           1.63072
         128.209           327.778           1.74409
         128.270           325.764           1.34829
         128.330           327.976           1.86284
         128.390           327.187           1.45752
         128.451           326.671           1.91463
         128.511           328.758           1.66396
         128.571           328.586           1.42254
         128.632           327.457           1.88261
         128.692           328.610           1.85431
         128.752           328.180           1.90621
         128.813           327.929           1.72523
         128.873           327.662           1.83541
         128.934           325.252           1.63930
         128.994           326.590           1.86601
         129.054           326.903           1.51754
         129.115           327.206           1.89478
         129.175           327.490           1.81753
         129.236           327.541           1.60516
         129.296           329.310           1.96326
         129.357           328.705           1.92750
         129.417           328.411           1.76647
         129.478           329.511           2.04171
         129.538           326.742           1.78827
         129.599           326.540           2.20711
         129.659           326.098           1.70939
         129.720           326.942           2.01255
         129.780           325.714           1.88093
         129.841           324.553           2.13993
         129.901           324.147           2.13519
         129.962           323.203           1.67774
         130.022           323.729           1.87292
         130.083           324.953           1.59554
         130.143           324.407           2.05793
         130.204           322.931           2.33620
         130.265           324.612           2.13951
         130.325           340.676           1.43994
         130.386           358.011           1.42354
         130.447           339.711           2.20949
         130.507           322.117           2.91561
         130.568           321.228           2.19314
         130.628           319.786           2.70864
         130.689           321.378           2.44635
         130.750           322.274           2.87226
         130.811           323.686           2.04837
         130.871           324.124           2.48790
         130.932           321.564           2.62554
         130.993           321.069           3.15532
         131.053           323.426           2.60397
         131.114           322.841           2.69969
         131.175           323.301           2.69223
         131.236           323.906           3.10203
         131.296           323.093           2.44194
         131.357           324.905           2.57088
         131.418           324.910           2.73518
         131.479           326.012           2.49898
         131.539           325.253           2.99570
         131.600           324.437           2.29434
         131.661           323.704           2.18140
         131.722           324.612           2.16588
         131.783           325.978           2.65443
         131.844           327.642           2.27373
         131.904           327.858           2.13939
         131.965           326.019           2.37921
         132.026           327.807           2.00359
         132.087           326.691           1.75535
         132.148           328.557           2.05023
         132.209           326.842           2.14124
         132.270           326.331           2.06558
         132.331           325.531           2.04393
         132.392           329.131           2.14977
         132.452           328.270           1.85569
         132.513           326.992           2.19858
         132.574           325.737           1.73337
         132.635           324.684           2.04539
         132.696           323.991           1.69362
         132.757           325.267           1.47788
         132.818           325.439           1.78826
         132.879           326.143           2.01260
         132.940           327.071           1.81319
         133.001           324.717           1.65949
         133.062           326.645           1.71462
         133.123           326.754           1.88797
         133.184           328.211           1.96296
         133.245           325.868           2.20043
         133.306           324.471           1.79536
         133.367           325.406           1.70049
         133.428           326.404           1.45573
         133.490           326.235           1.93583
         133.551           327.582           1.49114
         133.612           327.718           1.77732
         133.673           329.029           1.70378
         133.734           327.087           1.79666
         133.795           326.489           1.84921
         133.856           328.405           1.81892
         133.917           325.789           1.88927
