  Wavelength(um)          Flux(Jy)         Error(Jy)
         61.0359           86.1350           2.97943
         61.0555           89.5697           3.08002
         61.0752           88.5394           1.94156
         61.0949           88.2521           3.02612
         61.1145           88.6300           2.42207
         61.1342           88.4900           2.75270
         61.1538           89.3232           3.39907
         61.1735           87.3754           2.29742
         61.1932           90.2864           2.25520
         61.2128           90.9478           2.92503
         61.2325           88.2327           2.36896
         61.2522           89.7261           1.74208
         61.2718           89.0311           2.59506
         61.2915           88.3580           3.29992
         61.3111           90.0358           2.65680
         61.3308           89.5816           2.58189
         61.3505           89.6377           3.40853
         61.3701           90.3821           2.31111
         61.3898           90.8075           1.61402
         61.4095           90.2927           2.93579
         61.4291           89.9700           2.94848
         61.4488           89.8546           1.98859
         61.4685           90.1071           2.55407
         61.4881           88.5803           2.29000
         61.5078           90.5848           1.79202
         61.5275           91.1550           2.14100
         61.5471           90.1802           2.71253
         61.5668           89.2351           2.29563
         61.5865           90.3414           1.91661
         61.6061           92.5837           2.09400
         61.6258           91.0595           1.71093
         61.6455           88.6061           1.65880
         61.6652           92.2858           1.77263
         61.6848           93.6847           1.79473
         61.7045           94.4844           1.46539
         61.7242           93.1368           1.68766
         61.7438           94.2174           1.49836
         61.7635           94.5823           1.31077
         61.7832           93.4420           1.23140
         61.8029           93.8337           1.76394
         61.8225           93.1656          0.919433
         61.8422           94.7848           1.58451
         61.8619           97.0443           1.25929
         61.8815           98.2336           1.09091
         61.9012           95.8424           1.43533
         61.9209           98.4206          0.632026
         61.9406           96.0795          0.963233
         61.9602           94.8470          0.825111
         61.9799           97.3326          0.931661
         61.9996           96.6812          0.726098
         62.0193           97.7441          0.754286
         62.0389           97.8531          0.830073
         62.0586           98.8185          0.827333
         62.0783           95.8502          0.652655
         62.0980           98.9938          0.910113
         62.1176           98.8355          0.982867
         62.1373           96.4044          0.371222
         62.1570           96.5645          0.978030
         62.1767           94.9315          0.781221
         62.1964           96.8453          0.708717
         62.2160           95.3319          0.674030
         62.2357           97.1951          0.578610
         62.2554           97.2314          0.826804
         62.2751           93.4414          0.560844
         62.2947           94.4660          0.785699
         62.3144           94.4668          0.980821
         62.3341           96.4412          0.603902
         62.3538           93.4047          0.748355
         62.3735           92.2117          0.925494
         62.3931           91.9369          0.506713
         62.4128           91.8550          0.889252
         62.4325           91.9016          0.645083
         62.4522           89.5294          0.657550
         62.4719           90.9592           1.04026
         62.4915           90.0743          0.531869
         62.5112           91.0758          0.782354
         62.5309           88.3733          0.729424
         62.5506           87.0709          0.604942
         62.5703           88.5737          0.783645
         62.5900           89.0918          0.567610
         62.6096           89.8792          0.763772
         62.6293           90.4027           1.20246
         62.6490           92.0536          0.691229
         62.6687           91.1920           1.15935
         62.6884           91.0382          0.724133
         62.7081           90.8668          0.769937
         62.7277           90.5280           1.23937
         62.7474           90.8395          0.795861
         62.7671           89.5342           1.03978
         62.7868           88.7320          0.940248
         62.8065           90.8155           1.13755
         62.8262           93.8017          0.869055
         62.8459           90.7912          0.741515
         62.8655           90.4690           1.43241
         62.8852           93.9224          0.773958
         62.9049           91.1417           1.38250
         62.9246           93.0953           1.47313
         62.9443           93.1559           1.11499
         62.9640           93.5512           1.14135
         62.9837           92.6260           1.15618
         63.0034           91.1509          0.855442
         63.0230           93.3549           1.43270
         63.0427           94.7536          0.933309
