       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         64.0668           102.208           1.32878
         64.0865           102.376           1.73296
         64.1062           102.528           1.46471
         64.1259           102.652           1.65066
         64.1456           102.767           1.81883
         64.1653           102.869           1.58596
         64.1850           102.984           1.67707
         64.2047           103.092           1.88297
         64.2244           103.217           1.92782
         64.2441           103.327           1.83319
         64.2638           103.433           1.12960
         64.2835           103.536           1.67737
         64.3032           103.613           1.98465
         64.3229           103.698           1.54116
         64.3426           103.764           1.77374
         64.3623           103.844           1.55682
         64.3820           103.952           1.08737
         64.4017           104.058           1.70624
         64.4214           104.168           1.67267
         64.4411           104.262           1.84715
         64.4608           104.386           1.84409
         64.4805           104.508           1.65178
         64.5002           104.648           1.81225
         64.5199           104.791           1.41679
         64.5396           104.939           1.71500
         64.5593           105.106           2.21243
         64.5790           105.274           2.06881
         64.5987           105.429           1.23277
         64.6184           105.574           1.98951
         64.6381           105.690           2.28344
         64.6578           105.794           1.32667
         64.6775           105.863           2.06511
         64.6972           105.933           1.91737
         64.7169           105.988           1.68507
         64.7366           106.028           1.86129
         64.7563           106.040           2.00092
         64.7760           106.042           1.60257
         64.7957           106.021           1.71670
         64.8155           105.998           2.08546
         64.8352           105.974           1.82606
         64.8549           105.976           1.54387
         64.8746           105.994           1.86263
         64.8943           106.025           1.81923
         64.9140           106.076           1.98035
         64.9337           106.151           1.43320
         64.9534           106.225           1.92273
         64.9731           106.318           2.31841
         64.9928           106.419           1.51880
         65.0125           106.539           2.09993
         65.0322           106.656           1.97420
         65.0519           106.802           2.02659
         65.0716           106.961           1.98014
         65.0913           107.117           2.34939
         65.1110           107.267           2.10677
         65.1307           107.388           1.76663
         65.1504           107.491           2.33420
         65.1701           107.577           2.21315
         65.1898           107.652           1.98968
         65.2095           107.729           1.98641
         65.2292           107.796           2.42710
         65.2489           107.877           2.56672
         65.2687           107.948           2.11919
         65.2884           108.015           2.38759
         65.3081           108.072           1.52293
         65.3278           108.119           2.24819
         65.3475           108.177           2.33406
         65.3672           108.247           2.39392
         65.3869           108.350           2.35300
         65.4066           108.478           2.24786
         65.4263           108.625           2.87449
         65.4460           108.793           2.38589
         65.4657           108.959           2.01413
         65.4854           109.126           2.56933
         65.5051           109.299           2.22027
         65.5248           109.485           2.27624
         65.5445           109.683           2.97871
         65.5642           109.896           2.64387
         65.5839           110.116           1.99483
         65.6037           110.317           2.22171
         65.6234           110.505           2.57067
         65.6431           110.676           2.20649
         65.6628           110.818           1.90715
         65.6825           110.953           2.30276
         65.7022           111.071           1.89761
         65.7219           111.179           2.38729
         65.7416           111.283           1.98973
         65.7613           111.383           2.27374
         65.7810           111.467           2.42609
         65.8007           111.541           2.05292
         65.8204           111.630           2.46000
         65.8401           111.717           2.20063
         65.8598           111.817           2.06537
         65.8795           111.938           2.59495
         65.8992           112.090           1.95413
         65.9190           112.263           2.14449
         65.9387           112.433           2.13017
         65.9584           112.621           1.84018
         65.9781           112.805           2.50061
         65.9978           112.985           2.02310
         66.0175           113.158           1.99793
         66.0372           113.334           2.31136
         66.0569           113.508           2.19027
         66.0766           113.660           1.89344
         66.0963           113.813           2.27338
         66.1160           113.942           1.79804
         66.1357           114.046           1.90368
         66.1554           114.140           2.15261
         66.1751           114.211           1.77599
         66.1949           114.285           1.76073
         66.2146           114.366           1.98444
         66.2343           114.448           1.80969
         66.2540           114.530           2.09192
         66.2737           114.611           1.62141
         66.2934           114.686           2.29458
         66.3131           114.741           1.86714
         66.3328           114.784           1.76317
         66.3525           114.847           1.74482
         66.3722           114.906           1.80382
         66.3919           114.975           1.80652
         66.4116           115.038           1.88366
         66.4313           115.102           2.29713
         66.4510           115.161           1.75314
         66.4707           115.181           1.67614
         66.4905           115.211           2.16166
         66.5102           115.240           2.35185
         66.5299           115.274           1.91570
         66.5496           115.327           1.77134
         66.5693           115.378           1.68769
         66.5890           115.447           2.41068
         66.6087           115.493           1.95460
         66.6284           115.541           2.13273
         66.6481           115.586           2.35005
         66.6678           115.637           2.02933
         66.6875           115.720           1.49887
         66.7072           115.807           2.00957
         66.7269           115.922           2.08859
         66.7466           116.044           2.41457
         66.7663           116.167           2.34378
         66.7861           116.276           2.69664
         66.8058           116.385           2.47548
         66.8255           116.521           2.38903
         66.8452           116.665           2.15347
         66.8649           116.820           1.76685
         66.8846           116.985           1.95863
         66.9043           117.154           2.71295
         66.9240           117.308           2.00833
         66.9437           117.445           2.36628
         66.9634           117.573           1.92920
         66.9831           117.683           2.31538
         67.0028           117.792           2.16861
         67.0225           117.888           2.10111
         67.0422           117.983           2.41836
         67.0619           118.086           1.60958
         67.0816           118.181           2.34396
         67.1013           118.275           1.92017
         67.1211           118.378           2.22372
         67.1408           118.514           2.79626
         67.1605           118.668           2.23968
         67.1802           118.848           1.58728
         67.1999           119.055           2.22040
         67.2196           119.285           2.84079
         67.2393           119.520           1.82461
         67.2590           119.785           1.79621
         67.2787           120.050           2.61553
         67.2984           120.316           1.88887
         67.3181           120.572           1.92968
         67.3378           120.819           2.07301
         67.3575           121.039           1.85695
         67.3772           121.221           1.89088
         67.3969           121.382           2.16582
         67.4166           121.517           2.32655
         67.4363           121.638           1.79942
         67.4560           121.746           2.08340
         67.4757           121.813           2.16349
         67.4954           121.907           1.71658
         67.5151           121.994           1.62944
         67.5348           122.085           2.25521
         67.5545           122.197           2.43808
         67.5743           122.313           2.05144
         67.5940           122.460           2.58356
         67.6137           122.614           2.06046
         67.6334           122.798           2.05187
         67.6531           122.984           2.17300
         67.6728           123.171           2.22815
         67.6925           123.377           1.69366
         67.7122           123.565           2.02651
         67.7319           123.762           2.00237
         67.7516           123.949           2.08463
         67.7713           124.098           2.38626
         67.7910           124.250           2.23148
         67.8107           124.386           2.08970
         67.8304           124.538           1.91395
         67.8501           124.655           1.78664
         67.8698           124.783           2.07202
         67.8895           124.904           2.34690
         67.9092           125.004           2.24154
         67.9289           125.103           2.36473
         67.9486           125.190           1.64216
         67.9683           125.295           2.15129
         67.9880           125.421           2.39694
         68.0077           125.552           1.78869
         68.0274           125.683           2.15735
         68.0471           125.812           2.45331
         68.0668           125.950           2.34666
         68.0865           126.069           2.30270
         68.1062           126.201           2.05600
         68.1259           126.346           2.16027
         68.1456           126.505           1.99553
         68.1653           126.660           2.84017
         68.1850           126.811           2.16807
         68.2047           126.939           2.43906
         68.2244           127.027           2.59529
         68.2441           127.111           2.21276
         68.2638           127.149           2.22016
         68.2835           127.188           2.39149
         68.3032           127.217           2.65379
         68.3229           127.236           2.47424
         68.3426           127.230           2.32358
         68.3623           127.197           2.32506
         68.3820           127.147           2.55969
         68.4017           127.064           2.26654
         68.4214           126.993           2.29282
         68.4411           126.934           2.13716
         68.4608           126.879           2.20937
         68.4805           126.868           2.21903
         68.5002           126.849           2.44346
         68.5199           126.853           2.97729
         68.5395           126.855           2.03831
         68.5592           126.869           2.31411
         68.5789           126.878           2.39362
         68.5986           126.896           2.21917
         68.6183           126.953           1.83857
         68.6380           127.023           2.35264
         68.6577           127.110           2.26962
         68.6774           127.206           2.90086
         68.6971           127.281           1.82748
         68.7168           127.354           2.07242
         68.7365           127.404           2.31045
         68.7562           127.435           1.81319
         68.7759           127.471           2.14770
         68.7956           127.535           2.26197
         68.8153           127.628           2.12873
         68.8350           127.704           2.21950
         68.8547           127.778           1.88509
         68.8744           127.842           2.36544
         68.8940           127.885           2.16058
         68.9137           127.936           2.20588
         68.9334           127.983           2.24077
         68.9531           128.049           2.06763
         68.9728           128.157           1.38074
         68.9925           128.269           2.48693
         69.0122           128.383           1.66257
         69.0319           128.486           2.24259
         69.0516           128.585           2.27933
         69.0713           128.671           2.01692
         69.0910           128.782           2.27268
         69.1106           128.920           2.36658
         69.1303           129.069           2.12132
         69.1500           129.229           2.16860
         69.1697           129.387           2.18004
         69.1894           129.544           1.53620
         69.2091           129.706           2.29523
         69.2288           129.860           2.42551
         69.2485           130.029           2.18411
         69.2682           130.210           2.01596
         69.2878           130.408           2.22224
