       Wave (um)         Flux (Jy)
         229.095         -0.542259
         229.148         -0.480371
         229.201         -0.521162
         229.253         -0.643116
         229.306         -0.796393
         229.358         -0.917050
         229.411         -0.948266
         229.463         -0.858925
         229.516         -0.651764
         229.569         -0.357390
         229.622        -0.0158692
         229.674          0.347867
         229.727          0.697415
         229.780           1.01874
         229.833           1.30279
         229.885           1.53303
         229.938           1.68355
         229.991           1.72738
         230.044           1.65077
         230.097           1.46466
         230.150           1.20609
         230.203          0.926525
         230.256          0.673089
         230.309          0.471324
         230.362          0.318195
         230.415          0.188046
         230.468         0.0476361
         230.521         -0.128295
         230.575         -0.348533
         230.628         -0.605695
         230.681         -0.882955
         230.734          -1.15794
         230.787          -1.39798
         230.841          -1.58535
         230.894          -1.68733
         230.947          -1.66780
         231.001          -1.50368
         231.054          -1.20269
         231.107         -0.814420
         231.161         -0.424607
         231.214         -0.130588
         231.268       -0.00538635
         231.321        -0.0663935
         231.375         -0.263855
         231.428         -0.496771
         231.482         -0.650209
         231.536         -0.638121
         231.589         -0.432015
         231.643        -0.0641430
         231.696          0.394069
         231.750          0.865020
         231.804           1.29151
         231.858           1.64520
         231.911           1.91720
         231.965           2.09182
         232.019           2.14226
         232.073           2.03477
         232.127           1.74944
         232.181           1.30378
         232.235          0.762642
         232.288          0.224631
         232.342         -0.211379
         232.396         -0.484309
         232.450         -0.593921
         232.504         -0.596517
         232.559         -0.575195
         232.613         -0.599990
         232.667         -0.698178
         232.721         -0.849092
         232.775          -1.00368
         232.829          -1.11546
         232.884          -1.16394
         232.938          -1.15781
         232.992          -1.11850
         233.046          -1.05945
         233.101         -0.957738
         233.155         -0.777420
         233.209         -0.493199
         233.264         -0.118815
         233.318          0.281141
         233.373          0.608058
         233.427          0.770153
         233.482          0.727290
         233.536          0.515699
         233.591          0.237614
         233.645         0.0190521
         233.700        -0.0442980
         233.755         0.0738731
         233.809          0.324645
         233.864          0.612683
         233.919          0.841608
         233.973          0.951653
         234.028          0.931227
         234.083          0.801027
         234.138          0.584306
         234.192          0.283356
         234.247        -0.0913513
         234.302         -0.519798
         234.357         -0.941196
         234.412          -1.24866
         234.467          -1.32044
         234.522          -1.07634
         234.577         -0.531403
         234.632          0.185946
         234.687          0.867997
         234.742           1.30540
         234.797           1.37328
         234.852           1.08343
         234.908          0.575570
         234.963         0.0512062
         235.018         -0.316807
         235.073         -0.452393
         235.129         -0.390050
         235.184         -0.232511
         235.239        -0.0802222
         235.295         0.0219738
         235.350         0.0908601
         235.405          0.180570
         235.461          0.312528
         235.516          0.445143
         235.572          0.489515
         235.627          0.365757
         235.683         0.0650932
         235.738         -0.326204
         235.794         -0.665040
         235.849         -0.836438
         235.905         -0.835524
         235.961         -0.787609
         236.016         -0.875062
         236.072          -1.19639
         236.128          -1.64024
         236.184          -1.87848
         236.239          -1.53690
         236.295         -0.483766
         236.351          0.956253
         236.407           2.08552
         236.463           2.26667
         236.519           1.42957
         236.575          0.219306
         236.631         -0.452510
         236.687         -0.119471
         236.743          0.869384
         236.799           1.66829
         236.855           1.62914
         236.911          0.760858
         236.967         -0.373203
         237.023          -1.13698
         237.080          -1.23236
         237.136         -0.782088
         237.192         -0.133166
         237.248          0.407164
         237.305          0.720553
         237.361          0.864549
         237.417          0.958633
         237.474           1.06766
         237.530           1.15436
         237.587           1.11406
         237.643          0.857486
         237.700          0.386681
         237.756         -0.213952
         237.813         -0.794170
         237.869          -1.21842
         237.926          -1.43004
         237.982          -1.46740
         238.039          -1.42820
         238.096          -1.40653
         238.152          -1.44034
         238.209          -1.49797
         238.266          -1.50708
         238.323          -1.40507
         238.379          -1.17923
         238.436         -0.873319
         238.493         -0.559448
         238.550         -0.294269
         238.607        -0.0873254
         238.664         0.0998609
         238.721          0.324079
         238.778          0.618511
         238.835          0.968461
         238.892           1.32549
         238.949           1.57972
         239.006           1.66054
         239.063           1.55466
         239.120           1.30465
         239.178          0.984185
         239.235          0.661167
         239.292          0.369683
         239.349          0.104866
         239.407         -0.159237
         239.464         -0.441473
         239.521         -0.732892
         239.579         -0.994099
         239.636          -1.17084
         239.694          -1.21640
         239.751          -1.10806
         239.809         -0.849777
         239.866         -0.465092
         239.924         0.0126441
         239.981          0.542336
         240.039           1.07467
         240.096           1.56130
         240.154           1.88986
         240.212           1.97125
         240.270           1.75456
         240.327           1.24951
         240.385          0.536134
         240.443         -0.250594
         240.501         -0.958781
         240.559          -1.46540
         240.616          -1.71134
         240.674          -1.70984
         240.732          -1.52707
         240.790          -1.24460
         240.848         -0.922989
         240.906         -0.583818
         240.964         -0.217540
         241.022          0.189485
         241.080          0.625825
