       Wave (um)         Flux (Jy)
         215.332           327.869
         215.378           327.548
         215.425           327.197
         215.471           326.823
         215.518           326.429
         215.564           326.023
         215.611           325.612
         215.657           325.206
         215.704           324.814
         215.750           324.444
         215.797           324.102
         215.843           323.793
         215.890           323.519
         215.936           323.283
         215.983           323.086
         216.030           322.929
         216.076           322.811
         216.123           322.728
         216.170           322.676
         216.217           322.654
         216.263           322.659
         216.310           322.689
         216.357           322.741
         216.404           322.807
         216.451           322.881
         216.497           322.954
         216.544           323.018
         216.591           323.067
         216.638           323.098
         216.685           323.110
         216.732           323.104
         216.779           323.080
         216.826           323.036
         216.873           322.968
         216.920           322.871
         216.967           322.747
         217.014           322.598
         217.061           322.431
         217.109           322.256
         217.156           322.078
         217.203           321.898
         217.250           321.717
         217.297           321.535
         217.344           321.355
         217.392           321.182
         217.439           321.023
         217.486           320.884
         217.534           320.768
         217.581           320.675
         217.628           320.603
         217.676           320.548
         217.723           320.505
         217.770           320.472
         217.818           320.448
         217.865           320.434
         217.913           320.428
         217.960           320.427
         218.008           320.427
         218.055           320.424
         218.103           320.413
         218.150           320.394
         218.198           320.365
         218.246           320.324
         218.293           320.268
         218.341           320.195
         218.389           320.102
         218.436           319.990
         218.484           319.860
         218.532           319.717
         218.580           319.563
         218.627           319.403
         218.675           319.236
         218.723           319.066
         218.771           318.895
         218.819           318.726
         218.867           318.564
         218.915           318.412
         218.963           318.274
         219.010           318.148
         219.058           318.033
         219.106           317.928
         219.154           317.829
         219.202           317.737
         219.251           317.650
         219.299           317.568
         219.347           317.489
         219.395           317.410
         219.443           317.326
         219.491           317.234
         219.539           317.130
         219.588           317.013
         219.636           316.879
         219.684           316.728
         219.732           316.559
         219.781           316.370
         219.829           316.161
         219.877           315.932
         219.926           315.685
         219.974           315.425
         220.022           315.156
         220.071           314.883
         220.119           314.612
         220.168           314.346
         220.216           314.090
         220.265           313.847
         220.313           313.621
         220.362           313.415
         220.410           313.235
         220.459           313.083
         220.508           312.960
         220.556           312.867
         220.605           312.805
         220.654           312.771
         220.702           312.765
         220.751           312.787
         220.800           312.833
         220.848           312.902
         220.897           312.987
         220.946           313.083
         220.995           313.182
         221.044           313.279
         221.093           313.365
         221.141           313.436
         221.190           313.487
         221.239           313.514
         221.288           313.512
         221.337           313.479
         221.386           313.411
         221.435           313.306
         221.484           313.165
         221.533           312.990
         221.583           312.782
         221.632           312.544
         221.681           312.280
         221.730           311.993
         221.779           311.688
         221.828           311.369
         221.877           311.043
         221.927           310.715
         221.976           310.394
         222.025           310.086
         222.075           309.797
         222.124           309.534
         222.173           309.300
         222.223           309.099
         222.272           308.932
         222.321           308.802
         222.371           308.707
         222.420           308.647
         222.470           308.617
         222.519           308.615
         222.569           308.637
         222.618           308.679
         222.668           308.737
         222.718           308.806
         222.767           308.883
         222.817           308.961
         222.866           309.036
         222.916           309.100
         222.966           309.148
         223.016           309.176
         223.065           309.178
         223.115           309.150
         223.165           309.088
         223.215           308.991
         223.265           308.857
         223.314           308.686
         223.364           308.480
         223.414           308.245
         223.464           307.984
         223.514           307.703
         223.564           307.407
         223.614           307.100
         223.664           306.787
         223.714           306.470
         223.764           306.156
         223.814           305.848
         223.864           305.552
         223.914           305.274
         223.965           305.017
         224.015           304.784
         224.065           304.576
         224.115           304.395
         224.165           304.242
         224.216           304.117
         224.266           304.022
         224.316           303.955
         224.367           303.914
         224.417           303.895
         224.467           303.894
         224.518           303.904
         224.568           303.921
         224.619           303.941
         224.669           303.961
         224.720           303.979
         224.770           303.991
         224.821           303.995
         224.871           303.987
         224.922           303.965
         224.972           303.925
         225.023           303.865
         225.074           303.786
         225.124           303.687
         225.175           303.570
         225.226           303.434
         225.276           303.282
         225.327           303.114
         225.378           302.933
         225.429           302.743
         225.480           302.545
         225.530           302.345
         225.581           302.146
         225.632           301.951
         225.683           301.763
         225.734           301.587
         225.785           301.425
         225.836           301.280
         225.887           301.156
         225.938           301.053
         225.989           300.972
         226.040           300.912
         226.091           300.869
         226.142           300.842
         226.194           300.827
         226.245           300.822
         226.296           300.824
         226.347           300.828
         226.398           300.831
         226.450           300.826
         226.501           300.809
         226.552           300.776
         226.604           300.723
         226.655           300.650
         226.706           300.559
         226.758           300.449
         226.809           300.325
         226.861           300.187
         226.912           300.037
         226.964           299.875
         227.015           299.706
         227.067           299.529
         227.118           299.349
         227.170           299.169
         227.221           298.988
         227.273           298.809
         227.325           298.632
         227.376           298.456
         227.428           298.281
         227.480           298.110
         227.532           297.943
         227.583           297.782
         227.635           297.625
         227.687           297.473
         227.739           297.320
         227.791           297.165
         227.843           297.000
         227.895           296.823
         227.947           296.630
         227.999           296.416
         228.051           296.181
         228.103           295.922
         228.155           295.640
         228.207           295.334
         228.259           295.006
         228.311           294.661
         228.363           294.301
         228.415           293.932
         228.467           293.557
         228.520           293.182
         228.572           292.809
         228.624           292.445
         228.676           292.091
         228.729           291.754
         228.781           291.438
         228.833           291.145
         228.886           290.880
         228.938           290.645
         228.991           290.441
         229.043           290.271
         229.095           290.133
         229.148           290.028
         229.201           289.954
         229.253           289.909
         229.306           289.890
         229.358           289.891
         229.411           289.907
         229.463           289.933
         229.516           289.964
         229.569           289.994
         229.622           290.019
         229.674           290.033
         229.727           290.034
         229.780           290.016
         229.833           289.976
         229.885           289.912
         229.938           289.822
         229.991           289.706
         230.044           289.561
         230.097           289.390
         230.150           289.193
         230.203           288.971
         230.256           288.727
         230.309           288.464
         230.362           288.187
         230.415           287.898
         230.468           287.605
         230.521           287.310
         230.575           287.018
         230.628           286.734
         230.681           286.463
         230.734           286.208
         230.787           285.976
         230.841           285.769
         230.894           285.592
         230.947           285.446
         231.001           285.331
         231.054           285.249
         231.107           285.199
         231.161           285.180
         231.214           285.189
         231.268           285.224
         231.321           285.280
         231.375           285.352
         231.428           285.433
         231.482           285.515
         231.536           285.593
         231.589           285.661
         231.643           285.715
         231.696           285.752
         231.750           285.768
         231.804           285.760
         231.858           285.724
         231.911           285.659
         231.965           285.563
         232.019           285.436
         232.073           285.281
         232.127           285.100
         232.181           284.896
         232.235           284.672
         232.288           284.428
         232.342           284.168
         232.396           283.895
         232.450           283.614
         232.504           283.330
         232.559           283.049
         232.613           282.776
         232.667           282.515
         232.721           282.269
         232.775           282.042
         232.829           281.834
         232.884           281.647
         232.938           281.485
         232.992           281.349
         233.046           281.238
         233.101           281.151
         233.155           281.085
         233.209           281.036
         233.264           280.998
         233.318           280.969
         233.373           280.946
         233.427           280.925
         233.482           280.904
         233.536           280.878
         233.591           280.846
         233.645           280.803
         233.700           280.749
         233.755           280.683
         233.809           280.608
         233.864           280.525
         233.919           280.435
         233.973           280.338
         234.028           280.231
         234.083           280.115
         234.138           279.989
         234.192           279.855
         234.247           279.713
         234.302           279.568
         234.357           279.421
         234.412           279.271
         234.467           279.118
         234.522           278.960
         234.577           278.797
         234.632           278.630
         234.687           278.462
         234.742           278.294
         234.797           278.128
         234.852           277.964
         234.908           277.799
         234.963           277.630
         235.018           277.456
         235.073           277.276
         235.129           277.091
         235.184           276.900
         235.239           276.703
         235.295           276.498
         235.350           276.286
         235.405           276.070
         235.461           275.855
         235.516           275.647
         235.572           275.450
         235.627           275.266
         235.683           275.094
         235.738           274.932
         235.794           274.781
         235.849           274.645
         235.905           274.525
         235.961           274.423
         236.016           274.337
         236.072           274.260
         236.128           274.187
         236.184           274.113
         236.239           274.033
         236.295           273.951
         236.351           273.870
         236.407           273.798
         236.463           273.736
         236.519           273.683
         236.575           273.630
         236.631           273.569
         236.687           273.492
         236.743           273.399
         236.799           273.293
         236.855           273.179
         236.911           273.056
         236.967           272.920
         237.023           272.764
         237.080           272.583
         237.136           272.373
         237.192           272.139
         237.248           271.885
         237.305           271.619
         237.361           271.347
         237.417           271.074
         237.474           270.801
         237.530           270.527
         237.587           270.253
         237.643           269.981
         237.700           269.714
         237.756           269.460
         237.813           269.224
         237.869           269.008
         237.926           268.811
         237.982           268.635
         238.039           268.480
         238.096           268.350
         238.152           268.245
         238.209           268.168
         238.266           268.119
         238.323           268.094
         238.379           268.093
         238.436           268.111
         238.493           268.148
         238.550           268.200
         238.607           268.264
         238.664           268.333
         238.721           268.402
         238.778           268.463
         238.835           268.514
         238.892           268.550
         238.949           268.573
         239.006           268.581
         239.063           268.577
         239.120           268.560
         239.178           268.532
         239.235           268.493
         239.292           268.443
         239.349           268.383
         239.407           268.315
         239.464           268.237
         239.521           268.151
         239.579           268.055
         239.636           267.949
         239.694           267.834
         239.751           267.709
         239.809           267.576
         239.866           267.437
         239.924           267.294
         239.981           267.148
         240.039           267.002
         240.096           266.856
         240.154           266.711
         240.212           266.570
         240.270           266.434
         240.327           266.302
         240.385           266.174
         240.443           266.049
         240.501           265.923
         240.559           265.794
         240.616           265.662
         240.674           265.526
         240.732           265.387
         240.790           265.247
         240.848           265.105
         240.906           264.963
         240.964           264.820
         241.022           264.674
         241.080           264.525
         241.139           264.374
         241.197           264.220
         241.255           264.063
         241.313           263.903
         241.371           263.737
         241.430           263.564
         241.488           263.381
         241.546           263.188
         241.605           262.985
         241.663           262.775
         241.721           262.561
         241.780           262.349
         241.838           262.143
         241.897           261.945
         241.955           261.760
         242.014           261.590
         242.073           261.437
         242.131           261.303
         242.190           261.189
         242.249           261.096
         242.307           261.024
         242.366           260.971
         242.425           260.936
         242.483           260.915
         242.542           260.907
         242.601           260.910
         242.660           260.921
         242.719           260.938
         242.778           260.960
         242.837           260.983
         242.896           261.007
         242.955           261.031
         243.014           261.053
         243.073           261.072
         243.132           261.087
         243.191           261.095
         243.250           261.095
         243.309           261.084
         243.369           261.062
         243.428           261.031
         243.487           260.991
         243.546           260.947
         243.606           260.902
         243.665           260.857
         243.725           260.815
         243.784           260.777
         243.843           260.743
         243.903           260.714
         243.962           260.691
         244.022           260.674
         244.081           260.663
         244.141           260.655
         244.201           260.648
         244.260           260.638
         244.320           260.622
         244.380           260.597
         244.439           260.564
         244.499           260.522
         244.559           260.472
         244.619           260.412
         244.679           260.343
         244.739           260.263
         244.798           260.171
         244.858           260.067
         244.918           259.951
         244.978           259.823
         245.038           259.686
         245.098           259.540
         245.159           259.386
         245.219           259.224
         245.279           259.057
         245.339           258.884
         245.399           258.709
         245.459           258.535
         245.520           258.365
         245.580           258.201
         245.640           258.047
         245.701           257.901
         245.761           257.765
         245.821           257.638
         245.882           257.518
         245.942           257.404
         246.003           257.292
         246.063           257.180
         246.124           257.066
         246.185           256.945
         246.245           256.817
         246.306           256.681
         246.367           256.538
         246.427           256.390
         246.488           256.237
         246.549           256.081
         246.610           255.923
         246.670           255.762
         246.731           255.598
         246.792           255.432
         246.853           255.264
         246.914           255.095
         246.975           254.926
         247.036           254.758
         247.097           254.591
         247.158           254.426
         247.219           254.264
         247.280           254.107
         247.342           253.958
         247.403           253.820
         247.464           253.697
         247.525           253.588
         247.586           253.494
         247.648           253.415
         247.709           253.347
         247.771           253.288
         247.832           253.238
         247.893           253.193
         247.955           253.151
         248.016           253.111
         248.078           253.071
         248.139           253.027
         248.201           252.980
         248.263           252.929
         248.324           252.873
         248.386           252.815
         248.448           252.755
         248.509           252.693
         248.571           252.629
         248.633           252.561
         248.695           252.487
         248.757           252.406
         248.819           252.316
         248.880           252.215
         248.942           252.103
         249.004           251.978
         249.066           251.838
         249.129           251.681
         249.191           251.506
         249.253           251.315
         249.315           251.106
         249.377           250.881
         249.439           250.642
         249.501           250.390
         249.564           250.127
         249.626           249.852
         249.688           249.570
         249.751           249.280
         249.813           248.987
         249.876           248.693
         249.938           248.401
         250.000           248.112
         250.063           247.829
         250.126           247.552
         250.188           247.282
         250.251           247.022
         250.313           246.772
         250.376           246.536
         250.439           246.315
         250.501           246.109
         250.564           245.921
         250.627           245.750
         250.690           245.597
         250.753           245.460
         250.816           245.339
         250.879           245.235
         250.941           245.145
         251.004           245.069
         251.067           245.004
         251.131           244.948
         251.194           244.899
         251.257           244.855
         251.320           244.813
         251.383           244.770
         251.446           244.723
         251.510           244.671
         251.573           244.609
         251.636           244.535
         251.699           244.449
         251.763           244.349
         251.826           244.236
         251.890           244.110
         251.953           243.973
         252.017           243.824
         252.080           243.664
         252.144           243.492
         252.207           243.311
         252.271           243.121
         252.335           242.923
         252.398           242.720
         252.462           242.513
         252.526           242.305
         252.589           242.097
         252.653           241.893
         252.717           241.693
         252.781           241.503
         252.845           241.323
         252.909           241.158
         252.973           241.007
         253.037           240.871
         253.101           240.750
         253.165           240.643
         253.229           240.548
         253.293           240.464
         253.357           240.392
         253.422           240.331
         253.486           240.279
         253.550           240.233
         253.614           240.193
         253.679           240.155
         253.743           240.116
         253.808           240.074
         253.872           240.029
         253.936           239.978
         254.001           239.921
         254.065           239.855
         254.130           239.780
         254.195           239.696
         254.259           239.601
         254.324           239.498
         254.389           239.388
         254.453           239.271
         254.518           239.150
         254.583           239.024
         254.648           238.895
         254.713           238.764
         254.778           238.631
         254.842           238.498
         254.907           238.366
         254.972           238.236
         255.037           238.109
         255.102           237.986
         255.168           237.865
         255.233           237.745
         255.298           237.625
         255.363           237.505
         255.428           237.383
         255.494           237.258
         255.559           237.129
         255.624           236.994
         255.690           236.853
         255.755           236.705
         255.820           236.549
         255.886           236.387
         255.951           236.219
         256.017           236.045
         256.082           235.865
         256.148           235.679
         256.214           235.488
         256.279           235.294
         256.345           235.097
         256.411           234.900
         256.476           234.707
         256.542           234.517
         256.608           234.333
         256.674           234.155
         256.740           233.983
         256.806           233.818
         256.872           233.662
         256.938           233.514
         257.004           233.376
         257.070           233.248
         257.136           233.127
         257.202           233.013
         257.268           232.902
         257.334           232.794
         257.401           232.687
         257.467           232.581
         257.533           232.474
         257.600           232.364
         257.666           232.247
         257.732           232.119
         257.799           231.978
         257.865           231.820
         257.932           231.646
         257.998           231.456
         258.065           231.251
         258.132           231.034
         258.198           230.804
         258.265           230.561
         258.332           230.307
         258.398           230.042
         258.465           229.772
         258.532           229.499
         258.599           229.227
         258.666           228.961
         258.733           228.704
         258.800           228.458
         258.867           228.226
         258.934           228.011
         259.001           227.814
         259.068           227.635
         259.135           227.475
         259.202           227.335
         259.269           227.215
         259.337           227.114
         259.404           227.032
         259.471           226.963
         259.538           226.903
         259.606           226.848
         259.673           226.794
         259.741           226.737
         259.808           226.676
         259.876           226.611
         259.943           226.544
         260.011           226.474
         260.078           226.400
         260.146           226.320
         260.214           226.230
         260.282           226.130
         260.349           226.020
         260.417           225.904
         260.485           225.783
         260.553           225.660
         260.621           225.534
         260.689           225.404
         260.757           225.267
         260.825           225.125
         260.893           224.981
         260.961           224.839
         261.029           224.705
         261.097           224.581
         261.165           224.468
         261.233           224.366
         261.302           224.273
         261.370           224.189
         261.438           224.111
         261.507           224.041
         261.575           223.979
         261.644           223.922
         261.712           223.869
         261.781           223.813
         261.849           223.751
         261.918           223.678
         261.986           223.592
         262.055           223.492
         262.124           223.376
         262.192           223.245
         262.261           223.098
         262.330           222.933
         262.399           222.751
         262.468           222.554
         262.537           222.345
         262.606           222.124
         262.675           221.893
         262.744           221.654
         262.813           221.405
         262.882           221.148
         262.951           220.884
         263.020           220.617
         263.089           220.349
         263.158           220.085
         263.228           219.828
         263.297           219.582
         263.366           219.350
         263.436           219.135
         263.505           218.941
         263.575           218.768
         263.644           218.621
         263.714           218.497
         263.783           218.397
         263.853           218.318
         263.922           218.256
         263.992           218.209
         264.062           218.172
         264.131           218.142
         264.201           218.113
         264.271           218.080
         264.341           218.038
         264.411           217.983
         264.481           217.909
         264.551           217.815
         264.621           217.700
         264.691           217.563
         264.761           217.406
         264.831           217.230
         264.901           217.035
         264.971           216.825
         265.042           216.600
         265.112           216.365
         265.182           216.123
         265.252           215.878
         265.323           215.634
         265.393           215.394
         265.464           215.160
         265.534           214.936
         265.605           214.726
         265.675           214.534
         265.746           214.361
         265.817           214.210
         265.887           214.083
         265.958           213.977
         266.029           213.889
         266.099           213.815
         266.170           213.752
         266.241           213.694
         266.312           213.638
         266.383           213.581
         266.454           213.519
         266.525           213.447
         266.596           213.363
         266.667           213.263
         266.738           213.146
         266.809           213.010
         266.881           212.855
         266.952           212.682
         267.023           212.491
         267.094           212.282
         267.166           212.058
         267.237           211.821
         267.309           211.572
         267.380           211.316
         267.452           211.058
         267.523           210.801
         267.595           210.548
         267.666           210.304
         267.738           210.070
         267.810           209.851
         267.882           209.648
         267.953           209.464
         268.025           209.300
         268.097           209.157
         268.169           209.034
         268.241           208.931
         268.313           208.845
         268.385           208.775
         268.457           208.720
         268.529           208.678
         268.601           208.645
         268.673           208.619
         268.745           208.595
         268.818           208.568
         268.890           208.535
         268.962           208.491
         269.035           208.434
         269.107           208.363
         269.179           208.275
         269.252           208.172
         269.324           208.051
         269.397           207.914
         269.470           207.761
         269.542           207.594
         269.615           207.414
         269.688           207.224
         269.760           207.028
         269.833           206.829
         269.906           206.632
         269.979           206.439
         270.052           206.256
         270.125           206.084
         270.198           205.926
         270.271           205.783
         270.344           205.658
         270.417           205.550
         270.490           205.462
         270.563           205.392
         270.636           205.342
         270.710           205.308
         270.783           205.291
         270.856           205.287
         270.930           205.294
         271.003           205.309
         271.077           205.329
         271.150           205.349
         271.224           205.367
         271.297           205.378
         271.371           205.378
         271.445           205.363
         271.518           205.329
         271.592           205.274
         271.666           205.197
         271.740           205.097
         271.813           204.976
         271.887           204.836
         271.961           204.679
         272.035           204.506
         272.109           204.321
         272.183           204.125
         272.257           203.922
         272.332           203.713
         272.406           203.501
         272.480           203.286
         272.554           203.071
         272.629           202.858
         272.703           202.649
         272.777           202.446
         272.852           202.251
         272.926           202.066
         273.001           201.891
         273.075           201.726
         273.150           201.571
         273.225           201.425
         273.299           201.289
         273.374           201.162
         273.449           201.042
         273.523           200.928
         273.598           200.818
         273.673           200.709
         273.748           200.597
         273.823           200.481
         273.898           200.359
         273.973           200.231
         274.048           200.094
         274.123           199.950
         274.198           199.798
         274.274           199.639
         274.349           199.473
         274.424           199.302
         274.500           199.128
         274.575           198.954
         274.650           198.782
         274.726           198.612
         274.801           198.445
         274.877           198.281
         274.952           198.117
         275.028           197.954
         275.104           197.791
         275.179           197.630
         275.255           197.471
         275.331           197.315
         275.407           197.164
         275.483           197.017
         275.558           196.875
         275.634           196.739
         275.710           196.608
         275.786           196.484
         275.863           196.367
         275.939           196.254
         276.015           196.146
         276.091           196.039
         276.167           195.934
         276.244           195.828
         276.320           195.721
         276.396           195.611
         276.473           195.499
         276.549           195.383
         276.626           195.266
         276.702           195.147
         276.779           195.026
         276.855           194.905
         276.932           194.783
         277.009           194.662
         277.086           194.541
         277.162           194.421
         277.239           194.301
         277.316           194.183
         277.393           194.068
         277.470           193.956
         277.547           193.848
         277.624           193.745
         277.701           193.647
         277.778           193.553
         277.855           193.463
         277.933           193.376
         278.010           193.294
