       Wave (um)         Flux (Jy)  Uncertainty (Jy)
         59.7196          -1.67431           2.67986
         59.7392          0.831292           2.86849
         59.7588         -0.641602           3.01626
         59.7785         -0.398273           2.22471
         59.7981          0.648866           2.81090
         59.8177        -0.0115404           1.54987
         59.8374           1.73895           2.80950
         59.8570           1.69539           2.98377
         59.8766         -0.146003           2.50099
         59.8963          0.627801           2.42332
         59.9159         -0.180349           3.88638
         59.9355          0.975081           1.73995
         59.9552          -1.14498           2.11879
         59.9748         -0.394885           3.06474
         59.9945         -0.414623           2.43404
         60.0141           1.13874           2.24555
         60.0337          0.233783           3.22196
         60.0534         -0.578677           2.35694
         60.0730         -0.467201           2.01266
         60.0927          0.125228           3.47069
         60.1123          0.297906           2.07599
         60.1319          -1.47848           2.29347
         60.1516         -0.498110           2.84149
         60.1712          0.758355           3.05700
         60.1909          0.553647           2.17395
         60.2105           1.06161           2.51646
         60.2302          -1.91858           2.51761
         60.2498          0.412666           3.02929
         60.2694         -0.531860           1.82599
         60.2891         0.0373740           2.39663
         60.3087         -0.589171           2.26659
         60.3284         -0.594065           2.12151
         60.3480          0.432894           3.73717
         60.3677         -0.434343           2.23663
         60.3873           1.64583           1.95838
         60.4070         -0.823894           3.30255
         60.4266           1.16070           2.38237
         60.4463          0.405927           1.97272
         60.4659         -0.746645           3.22091
         60.4856         -0.423536           3.10295
         60.5052          0.735234           1.81267
         60.5249          0.419036           3.42804
         60.5445          -1.42198           2.93671
         60.5642         0.0390094           2.33813
         60.5838         -0.230997           3.10409
         60.6035          0.246677           2.83651
         60.6231          -1.15570           2.41851
         60.6428         -0.200714           2.54853
         60.6624        -0.0206405           2.63518
         60.6821         0.0384441           2.49372
         60.7017          0.544329           2.03466
         60.7214         -0.311185           2.86248
         60.7410           2.95260           2.31891
         60.7607         -0.174380           2.48885
         60.7803          -1.14994           3.24902
         60.8000         -0.354830           1.91766
         60.8197         -0.217090           2.16465
         60.8393          0.299964           3.62480
         60.8590          -1.52987           2.50249
         60.8786           1.09823           1.83873
         60.8983           1.29680           2.72607
         60.9179          0.122006           2.10374
         60.9376         -0.600186           2.13557
         60.9573         -0.615053           2.27605
         60.9769         -0.653312           2.69418
         60.9966        -0.0104719           2.76659
         61.0162          0.440565           2.47379
         61.0359          -1.84081           2.97943
         61.0555           1.45771           3.08002
         61.0752          0.289502           1.94156
         61.0949         -0.131117           3.02612
         61.1145          0.129009           2.42207
         61.1342         -0.136391           2.75270
         61.1538          0.565552           3.39907
         61.1735          -1.52987           2.29742
         61.1932           1.25163           2.25520
         61.2128           1.79466           2.92503
         61.2325          -1.02657           2.36896
         61.2522          0.381007           1.74208
         61.2718         -0.396676           2.59506
         61.2915          -1.14306           3.29992
         61.3111          0.450127           2.65680
         61.3308        -0.0944574           2.58189
         61.3505         -0.113502           3.40853
         61.3701          0.562984           2.31111
         61.3898          0.915907           1.61402
         61.4095          0.330675           2.93579
         61.4291        -0.0286214           2.94848
         61.4488         -0.197815           1.98859
         61.4685        -0.0309095           2.55407
         61.4881          -1.67274           2.29000
         61.5078          0.201277           1.79202
         61.5275          0.616510           2.14100
         61.5471         -0.528044           2.71253
         61.5668          -1.66483           2.29563
         61.5865         -0.770472           1.91661
         61.6061           1.25319           2.09400
         61.6258         -0.516337           1.71093
         61.6455          -3.26165           1.65880
         61.6652         0.0899375           1.77263
         61.6848           1.13625           1.79473
         61.7045           1.57253           1.46539
         61.7242         -0.134188           1.68766
         61.7438          0.624385           1.49836
         61.7635          0.665510           1.31077
         61.7832         -0.799913           1.23140
         61.8029         -0.729903           1.76394
         61.8225          -1.72270          0.919433
         61.8422         -0.432249           1.58451
         61.8619           1.51066           1.25929
         61.8815           2.40444           1.09091
         61.9012         -0.244310           1.43533
         61.9209           2.13196          0.632026
         61.9406         -0.399470          0.963233
         61.9602          -1.79523          0.825111
         61.9799          0.550778          0.931661
         61.9996         -0.226487          0.726098
         62.0193          0.733613          0.754286
         62.0389          0.767211          0.830073
         62.0586           1.72177          0.827333
         62.0783          -1.21482          0.652655
         62.0980           2.02041          0.910113
         62.1176           1.96254          0.982867
         62.1373         -0.342264          0.371222
         62.1570       -0.00448040          0.978030
         62.1767          -1.45306          0.781221
         62.1964          0.683479          0.708717
         62.2160         -0.582150          0.674030
         62.2357           1.57864          0.578610
         62.2554           1.94705          0.826804
         62.2751          -1.49110          0.560844
         62.2947        -0.0948652          0.785699
         62.3144          0.282186          0.980821
         62.3341           2.68873          0.603902
         62.3538         0.0864927          0.748355
         62.3735         -0.667111          0.925494
         62.3931         -0.508595          0.506713
         62.4128         -0.177550          0.889252
         62.4325          0.260347          0.645083
         62.4522          -1.76690          0.657550
         62.4719        -0.0164968           1.04026
         62.4915         -0.639619          0.531869
         62.5112          0.583285          0.782354
         62.5309          -1.93848          0.729424
         62.5506          -3.10112          0.604942
         62.5703          -1.50243          0.783645
         62.5900         -0.966262          0.567610
         62.6096         -0.221719          0.763772
         62.6293          0.233953           1.20246
         62.6490           1.81354          0.691229
         62.6687          0.851376           1.15935
         62.6884          0.597188          0.724133
         62.7081          0.321502          0.769937
         62.7277         -0.139142           1.23937
         62.7474         0.0368254          0.795861
         62.7671          -1.42956           1.03978
         62.7868          -2.39255          0.940248
         62.8065         -0.470260           1.13755
         62.8262           2.34928          0.869055
         62.8459         -0.840524          0.741515
         62.8655          -1.32770           1.43241
         62.8852           1.95878          0.773958
         62.9049          -1.04550           1.38250
         62.9246          0.652182           1.47313
         62.9443          0.479415           1.11499
         62.9640          0.627209           1.14135
         62.9837         -0.540174           1.15618
         63.0034          -2.25993          0.855442
         63.0230         -0.284609           1.43270
         63.0427          0.900886          0.933309
         63.0624          0.269199           1.55107
         63.0821          -1.91369           1.13560
         63.1018         0.0392561           1.22833
         63.1215           2.96132           1.33245
         63.1412           5.60607          0.966552
         63.1609          -5.03434          0.784327
         63.1806           2.71934          0.972486
         63.2003         -0.712727          0.700132
         63.2199          -1.07564           1.19369
         63.2396          -1.16188           1.49447
         63.2593         -0.506837           1.10301
         63.2790          0.948888           1.23053
         63.2987         -0.267248           1.62510
         63.3184           2.04765           1.58136
         63.3381          0.591019          0.982902
         63.3578          0.793983           1.91001
         63.3775          -2.01667           1.89012
         63.3972         -0.721131           1.54322
         63.4169         -0.903753           1.47417
         63.4365          0.102338           2.40528
         63.4562         -0.246610           1.28099
         63.4759          0.219124           1.58049
         63.4956         -0.238936           1.58977
         63.5153         -0.688304           1.59580
         63.5350          0.623390           1.37836
         63.5547         -0.239680           1.51048
         63.5744          0.955536           1.72580
         63.5941        -0.0909176           1.27405
         63.6138          -1.64438           1.60652
         63.6335          -1.03610           1.84541
         63.6532           1.00070           1.88755
         63.6729          0.182156           1.28721
         63.6926         -0.651718           1.89070
         63.7123         -0.622448           1.60487
         63.7320          0.208174           1.31392
         63.7517          0.113230           1.99635
         63.7714         -0.397838           1.54251
         63.7911           2.01362           1.25741
         63.8107          0.578835           1.46822
         63.8304         -0.519706           1.62032
         63.8501          0.842843           1.20075
         63.8698         -0.651521           1.47020
         63.8895         0.0852713           1.91805
         63.9092          0.195583           1.50583
         63.9289          0.520598           1.34075
         63.9486          0.264547           1.96517
         63.9683          0.416753           2.31858
         63.9880         -0.138614           1.38710
         64.0077          -1.85432           1.21675
         64.0274          0.629810           2.12537
         64.0471          -2.20980           1.84758
         64.0668         -0.340211           1.32878
         64.0865           1.26490           1.73296
         64.1062           1.85692           1.46471
         64.1259           2.25701           1.65066
         64.1456       -0.00572027           1.81883
         64.1653          -1.06040           1.58596
         64.1850         -0.989412           1.67707
         64.2047          0.859263           1.88297
         64.2244         -0.521986           1.92782
         64.2441        -0.0738456           1.83319
         64.2638          -1.91424           1.12960
         64.2835         -0.699244           1.67737
         64.3032           2.49169           1.98465
         64.3229          -1.00104           1.54116
         64.3426          0.825648           1.77374
         64.3623           1.12944           1.55682
         64.3820         -0.132289           1.08737
         64.4017          0.774448           1.70624
         64.4214          -1.11795           1.67267
         64.4411           1.10142           1.84715
         64.4608         -0.869617           1.84409
         64.4805         -0.688741           1.65178
         64.5002          -1.58615           1.81225
         64.5199         -0.710098           1.41679
         64.5396         -0.169011           1.71500
         64.5593         -0.693302           2.21243
         64.5790         -0.153152           2.06881
         64.5987           2.29650           1.23277
         64.6184          0.983513           1.98951
         64.6381          0.117266           2.28344
         64.6578         0.0161999           1.32667
         64.6775           1.10540           2.06511
         64.6972          0.285076           1.91737
         64.7169        -0.0511867           1.68507
         64.7366          0.729379           1.86129
         64.7563         -0.340297           2.00092
         64.7760         -0.916800           1.60257
         64.7957           1.25724           1.71670
