    Model#             age              Cs          Omega0           tstar       R_env_max       theta_cav  rho_cav_center    rho_cav_edge           rstar      M_disk_dot          M_disk            beta            h100         rho_cav           d_sub       M_env_dot           R_inf           R_cen           mstar      percentile        absolute        relative      view_angle      total_mass 
   Model26    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    3.800000e+01    2.037165e-01 
   Model27    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.200000e+01    2.037165e-01 
   Model28    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.400000e+01    2.037165e-01 
   Model29    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.600000e+01    2.037165e-01 
   Model30    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    3.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.036989e-01 
   Model31    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    3.500000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037071e-01 
   Model32    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.500000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037272e-01 
   Model33    1.000000e+04    5.000000e-01    1.000000e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    5.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    6.072365e-02    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.037391e-01 
   Model34    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    5.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039600e-01 
   Model35    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    1.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039277e-01 
   Model36    1.000000e+04    5.000000e-01    2.527800e-13    5.100000e+03    4.125300e+04    2.000000e+01    2.000000e-19    4.000000e+01    5.000000e+00    6.500000e-07    7.500000e-02    1.093000e+00    8.123000e+00    1.000000e-21    1.181745e-01    2.896073e-05    1.054025e+03    3.880104e-01    2.896073e-01    9.500000e+01    2.000000e+00    1.020000e+00    4.000000e+01    2.039357e-01 
